iter	RMSE
0	229.3256863
1	224.6326417
2	220.2702166
3	216.004264944	211.617469
55	207.514442366	203.727643877	200.020919688	196.375642799	192.7477881010	189.7502941111	186.7229012	12	183.5916013	13	180.880381414	178.3094515	15	175.5835916	16	172.9600017	17	170.6880718	18	168.537411919	166.3795182020	164.3881932121	162.3199162222	160.3110412323	158.4764222424	156.7328352525	154.99912126	153.2869039
2727	151.862742828	150.523705229	149.0666415330	147.8373387331	146.4178611332	145.2058885333	144.1103019334	142.9345515335	141.807022
36	140.5061627
37	139.5163721
38	138.6252979
39	137.6882908440	136.793189
41	135.8934323
42	134.9227845
43	134.1757294
44	133.425496
45	132.7201017
46	131.9414902
47	131.3969271
48	130.7206711
49	130.0159494
50	129.4075513
51	128.6870167
52	128.2039159
53	127.7661324
554	127.075603
55	126.7250843
56	126.3868617
57	125.8892543
58	125.3943468
59	124.9519716
60	124.3897244
61	123.8641668
62	123.3919699
63	122.9361468
64	122.4890525665	122.056461
66	121.6671115
67	121.2647812
68	120.7691749
69	120.4267076
70	120.0058181
71	119.6106225
72	119.2275863
73	118.9150625
74	118.5409184
75	118.2241482
76	117.8737578
77	117.4959344
78	117.2092404
79	116.9073734
80	116.7108742
81	116.4662595
82	116.1803347
83	115.7934078
84	115.556046
85	115.315951
86	115.0148036
87	114.8072015
88	114.497865
89	114.1407651
90	113.8519401
91	113.6662437
92	113.3816951
93	113.0135954
94	112.5449727
95	112.3420824
96	112.0618035
97	111.7078015
98	111.464608
99	111.2396742
100	110.9644147
101	110.6527119
102	110.5094231
103	110.2103787
104	110.0045614
105	109.773413
106	109.4792811
107	109.2421274
108	109.0375622
109	108.7666725
110	108.5393872
111	108.3390237
112	108.0643866
113	107.8218696
114	107.6610374
115	107.4177369
116	107.3015694
117	107.0371093
118	106.7612044
119	106.5149833
120	106.3483084
121	106.1879928
122	105.9661184
123	105.7509618
124	105.5359098
125	105.2391965
126	105.0529163
127	104.7776929
128	104.5909664
129	104.4091385
130	104.2813427
131	104.0758819
132	103.910944
133	103.7820549
134	103.5637718
135	103.4467564
136	103.1987491
137	102.9816791
138	102.7497933
139	102.5506844
140	102.4744265
141	102.2550487
142	102.0682383
143	101.88833
144	101.7725551
145	101.6328472
146	101.4076545
147	101.27241
148	101.1193938
149	100.9409374
150	100.7429212
151	100.5626419
152	100.4556929
153	100.3001566
154	100.216518
155	100.0163684
156	99.85385658
157	99.73639247
158	99.59175096
159	99.40620533
160	99.16535633
161	98.98230146
162	98.79305995
163	98.6247693
164	98.42929838
165	98.11410101
166	97.94573013
167	97.82046638
168	97.65088727
169	97.56338209
170	97.43699759
171	97.36106345
172	97.2732283
173	97.13309606
174	96.92522912
175	96.76915719
176	96.67516719
177	96.4434447
178	96.31637219
179	96.17363386
180	96.02306105
181	95.90538777
182	95.75713661
183	95.65233582
184	95.536434
185	95.4880175
186	95.30776345
187	95.14743331
188	95.05182957
189	94.8037059
190	94.64646581
191	94.45671522
192	94.29998477
193	94.14441511
194	94.05107338
195	93.92916766
196	93.64904205
197	93.53208484
198	93.44597676
