iter	Passed	Remaining
41411	4438	633411	4463	6370
412	4473	6358
41414	4469	63041415	4478	62841416	4487	62741417	4496	62641418	4506	62441419	4516	62341420	4524	62242421	4537	62142422	4547	62042423	4556	6190
424	4567	61742425	4577	61642426	4587	6155
427	4595	6141
428	4603	61242429	4613	61142430	4621	6101
431	4628	6086
432	4639	6074
433	4649	6064
434	4660	6052
435	4668	6039
436	4678	6026
437	4689	6016
438	4699	6005
439	4711	5996
440	4721	5984
441	4730	5972
442	4746	5967
443	4758	5958
444	4766	5944
445	4776	5932
446	4788	5924
447	4798	5911
448	4808	5900
449	4815	5886
450	4824	5873
451	4834	5860
452	4845	5850
453	4856	5840
454	4867	5829
455	4877	5818
456	4885	5804
457	4893	5791
458	4902	5777
459	4909	5763
460	4924	5757
461	4933	5744
462	4943	5733
463	4953	5722
464	4963	5710
465	4970	5695
466	4978	5682
467	4988	5670
468	4999	5660
469	5010	5649
470	5017	5635
471	5033	5631
472	5043	5618
473	5053	5607
474	5062	5595
475	5068	5579
476	5077	5567
477	5084	5552
478	5093	5539
479	5103	5529
480	5113	5516
481	5121	5503
482	5129	5491
483	5138	5478
484	5147	5466
485	5157	5454
486	5166	5442
487	5174	5429
488	5185	5419
489	5194	5406
490	5203	5394
491	5212	5381
492	5224	5372
493	5232	5359
494	5247	5353
495	5254	5338
496	5262	5326
497	5274	5317
498	5284	5305
499	5296	5296
500	5308	5286
501	5316	5273
502	5324	5260
503	5333	5249
504	5343	5237
505	5351	5224
506	5361	5213
507	5373	5204
508	5381	5190
509	5388	5177
510	5396	5164
511	5403	5150
512	5411	5137
513	5418	5123
514	5429	5113
515	5436	5099
516	5445	5087
517	5456	5076
518	5464	5064
519	5476	5054
520	5487	5045
521	5498	5035
522	5510	5025
523	5519	5013
524	5529	5003
525	5538	4990
526	5546	4978
527	5554	4965
528	5561	4951
529	5569	4939
530	5578	4927
531	5588	4916
532	5596	4903
533	5604	4890
534	5612	4878
535	5620	4865
536	5629	4853
537	5638	4842
538	5647	4830
539	5657	4819
540	5667	4808
541	5677	4797
542	5686	4785
543	5696	4774
544	5706	4764
545	5715	4752
546	5726	4742
547	5735	4730
548	5743	4718
549	5752	4706
550	5761	4694
551	5771	4683
552	5781	4673
553	5789	4661
554	5797	4648
555	5806	4636
556	5818	4627
557	5829	4617
558	5840	4607
559	5858	4602
560	5872	4595
561	5879	4582
562	5890	4572
563	5899	4560
564	5910	4550
565	5921	4540
566	5933	4531
567	5942	4519
568	5954	4510
569	5964	4499
570	5973	4487
571	5981	4475
572	5992	4465
573	6000	4453
574	6008	4440
575	6021	4432
576	6032	4422
577	6044	4413
578	6054	4402
579	6065	4392
580	6080	4384
581	6091	4375
582	6104	4366
583	6115	4356
584	6126	4346
585	6135	4334
586	6144	4323
587	6151	4310
588	6161	4299
589	6172	4289
590	6183	4279
591	6192	4268
592	6203	4257
593	6213	4246
594	6225	4237
595	6234	4225
596	6241	4213
597	6250	4201
598	6257	4189
599	6268	4178
600	6279	4168
601	6286	4156
602	6295	4144
603	6303	4132
604	6311	4121
605	6322	4110
606	6332	4099
607	6339	4087
608	6348	4076
609	6359	4065
610	6368	4054
611	6377	4043
612	6386	4031
613	6394	4019
614	6402	4008
615	6414	3998
616	6423	3987
617	6432	3976
618	6443	3966
619	6452	3954
620	6461	3943
621	6472	3933
622	6482	3922
623	6489	3910
624	6496	3897
625	6507	3887
626	6519	3878
627	6531	3869
628	6539	3857
629	6549	3846
630	6559	3835
631	6567	3824
632	6577	3813
633	6585	3801
634	6597	3792
635	6606	3781
636	6616	3770
637	6627	3760
638	6636	3749
639	6645	3738
640	6655	3727
641	6664	3716
642	6672	3704
643	6681	3693
644	6691	3682
645	6700	3671
646	6711	3661
647	6722	3651
648	6734	3642
649	6745	3632
650	6759	3623
651	6767	3611
652	6780	3603
653	6789	3591
654	6797	3580
655	6808	3570
656	6819	3560
657	6831	3550
658	6848	3543
659	6856	3532
660	6869	3523
661	6877	3511
662	6887	3501
663	6902	3492
664	6913	3482
665	6923	3472
666	6933	3461
667	6941	3450
668	6952	3439
669	6971	3433
670	6979	3422
671	6990	3412
672	7003	3402
673	7011	3391
674	7021	3380
675	7030	3369
676	7038	3358
677	7051	3349
678	7062	3338
679	7070	3327
680	7079	3316
681	7089	3305
682	7100	3295
683	7113	3286
684	7124	3276
685	7132	3264
686	7144	3254
687	7154	3244
688	7162	3232
689	7171	3221
690	7182	3211
691	7190	3200
692	7202	3190
693	7213	3180
694	7224	3170
695	7237	3161
696	7246	3150
697	7256	3139
698	7268	3130
699	7276	3118
700	7283	3106
701	7292	3095
702	7302	3085
703	7310	3073
704	7318	3062
705	7329	30570706	7339	30470707	7348	30370708	7360	30270709	7371	30170710	7384	30071711	7392	29971712	7403	29871713	7413	29671714	7423	29571715	7439	29571716	7454	29471717	7464	29371718	7478	29271719	7498	29171720	7514	29072721	7525	28972722	7537	28872723	7553	28772724	7568	28772725	7583	28672726	7596	28572727	7617	28472728	7630	28372729	7642	28272730	7653	28173731	7669	2807
732	7680	27973733	7698	27873734	7710	27773735	7723	27773736	7734	27573737	7742	27473738	7751	27373739	7761	27273740	7770	27174741	7778	27074742	7789	26974743	7802	26874744	7812	26774745	7821	26674746	7829	26574747	7837	26474748	7845	262748	7876	2639
74750	7862	260750	7894	2617
75752	7879	25875753	7888	257753	7922	2584
754	7929	2573
755	7937	2561
756	7946	2550
757	7954	2539
758	7962	2528
759	7971	2517
76761	7956	24876762	7965	24776763	7976	24676764	7984	24576765	7993	24476766	8004	24376767	8012	24276768	8022	24076769	8031	23976770	8039	23877771	8048	23777772	8057	23677773	8067	23577774	8079	23477775	8087	23377776	8096	23277777	8106	23177778	8114	23077779	8124	22977780	8131	22878781	8141	22678782	8150	22578783	8162	2248
784	8171	22378785	8179	22278786	8188	22178787	8197	22078788	8208	21978789	8216	21878790	8226	21779791	8236	21679792	8247	21579793	8259	2142
794	8270	2132
795	8281	2122
796	8290	2111
797	8300	2101
798	8308	2090
799	8317	2079
800	8324	2068
801	8333	2057
802	8344	2047
803	8356	2037
804	8368	20280805	8378	20180806	8392	20080807	8404	19980808	8415	19880809	8426	19780810	8439	196810	8472	1974
81812	8465	19481813	8479	19381814	8494	19281815	8502	19181816	8515	19081817	8526	18981818	8534	18881819	8544	18781820	8555	18682821	8563	18582822	8574	18482823	8585	18382824	8593	18282825	8601	18182826	8614	18082827	8625	17982828	8634	17882829	8645	17782830	8656	17683831	8665	17483832	8678	17383833	8686	17283834	8697	17183835	8710	17083836	8728	16983837	8742	16983838	8755	16883839	8781	1672
840	8792	1662
841	8801	1651
842	8813	1641
843	8824	1631
844	8834	1620
845	8845	1610
846	8858	1600
847	8869	1589
848	8880	1579
849	8892	15684850	8904	1559
851	8916	1548
852	8925	1538
853	8934	1527
854	8943	1516
855	8952	1506
856	8961	1495
857	8971	1484
858	8979	1473
859	8988	14685860	8994	14586861	9003	14486862	9013	14386863	9025	14286864	9037	14186865	9047	1399
866	9056	1389
867	9066	1378
868	9074	1368
869	9083	1357
870	9090	1346
871	9100	1335
872	9108	13287873	9116	13187874	9124	13087875	9132	12987876	9143	12887877	9153	12787878	9161	12687879	9169	12587880	9177	12388881	9187	12288882	9197	1218
883	9205	1207
884	9211	11988885	9218	11888886	9226	11788887	9234	11688888	9242	11588889	9250	11488890	9263	11389891	9273	11289892	9282	11189893	9291	11089894	9298	10989895	9306	10889896	9316	10689897	9326	105897	9355	1062
89899	9352	10389900	9363	10290901	9373	10190902	9387	10090903	9399	9989904	9411	987
905	9418	977
906	9433	967
907	9442	956
908	9450	946
909	9458	935
910	9467	924
911	9475	914
912	9483	903
913	9492	893
914	9500	882
915	9510	872
916	9517	861
917	9529	851
918	9540	840
919	9550	830
920	9563	820
921	9576	810
922	9592	800
923	9603	789
924	9654	782
925	9662	772
926	9672	761
927	9681	751
928	9692	740
929	9704	730
930	9711	719
931	9719	709
932	9726	698
933	9734	687
934	9742	677
935	9753	666
936	9763	656
937	9772	645
938	9782	635
939	9794	625
940	9803	614
941	9813	604
942	9821	593
943	9828	583
944	9836	572
945	9844	561
946	9853	551
947	9861	540
948	9870	530
949	9878	519
950	9886	509
951	9895	498
952	9902	488
953	9912	477
954	9920	467
955	9928	456
956	9937	446
957	9947	436
958	9959	425
959	9970	415
960	9979	404
961	9988	394
962	9996	384
963	10004	373
964	10012	363
965	10020	352
966	10031	342
967	10039	331
968	10046	321
969	10055	310
970	10063	300
971	10072	290
972	10080	279
973	10090	269
974	10097	258
975	10107	248
976	10113	238
977	10124	227
978	10130	217
979	10141	206
980	10153	196
981	10163	186
982	10175	175
983	10187	165
984	10204	155
985	10214	145
986	10221	134
987	10230	124
988	10241	113
989	10250	103
990	10263	93
991	10270	82
992	10277	72
993	10283	62
994	10289	51
995	10296	41
996	10302	31
997	10310	20
998	10315	10
999	10319	0
99	10311	0
