iter	Logloss
0	0.6899510831
1	0.6869668301
2	0.6836453265
3	0.6805077287
4	0.6775789534
5	0.6746831943
6	0.671589976
7	0.6689137194
8	0.6657938479
9	0.6626474892
10	0.6598961
11	0.6569958256
12	0.6534863021
13	0.6507405856
14	0.6479752381
15	0.6455382176
16	0.6427420357
17	0.6402382133
18	0.6380366162
19	0.6353233193
20	0.6326837769
21	0.6302092768
22	0.6281490351
23	0.6260667669
24	0.623582958
25	0.6214446755
26	0.6194741629
27	0.6170989367
28	0.6148918427
29	0.6129813031
30	0.6106819133
31	0.6083335901
32	0.606253442
33	0.6040107187
34	0.6018358535
35	0.6000818725
36	0.5977832475
37	0.5958664145
38	0.5937556562
39	0.591382641
40	0.5895832275
41	0.5872680853
42	0.5851315089
43	0.5832846476
44	0.5816724895
45	0.5794710832
46	0.5775391732
47	0.5756544483
48	0.5737431047
49	0.5717223356
50	0.5701355036
51	0.5682224702
52	0.5666416333
53	0.5652557124
54	0.5632861719
55	0.5616509159
56	0.5593826961
57	0.5578326639
58	0.5563955477
59	0.5545444588
60	0.5533333946
61	0.5514006827
62	0.5502325052
63	0.5484006627
64	0.5471007215
65	0.5459702051
66	0.5446647308
67	0.5435660333
68	0.5420911314
69	0.5410217596
70	0.5393568235
71	0.5378092706
72	0.5362827547
73	0.534707768
74	0.5333849511
75	0.5319136408
76	0.5305023213
77	0.5291495751
78	0.5282201605
79	0.5269917495
80	0.5254953552
81	0.5243092752
82	0.5227614811
83	0.5215195506
84	0.5204839903
85	0.5194771689
86	0.5180290459
87	0.5165763331
88	0.5152502257
89	0.5141949208
90	0.5129609486
91	0.5121590021
92	0.5109227838
93	0.5094354882
94	0.5086210783
95	0.5078124481
96	0.5066837829
97	0.5054329412
98	0.5044804865
99	0.503240441
100	0.5019121564
101	0.5009071356
102	0.4998609925
103	0.4985289533
104	0.4971316044
105	0.4957761253
106	0.4945966619
107	0.493577327
108	0.4924947394
109	0.4914633582
110	0.4905258118
111	0.4894988016
112	0.48835216
113	0.4872343839
114	0.4860794591
115	0.4849322442
116	0.4841730826
117	0.483030199
118	0.482176605
119	0.4812991345
120	0.4806229478
121	0.4798726924
122	0.4787623441
123	0.4776237011
124	0.4765157819
125	0.47582798
126	0.4750171767
127	0.4745246602
128	0.4734382398
129	0.472938206
130	0.4722171617
131	0.4714745763
